datetimes,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,actual_current_0,actual_current_1,actual_current_2,actual_current_3,actual_current_4,actual_current_5,actual_TCP_force_0,actual_TCP_force_1,actual_TCP_force_2,actual_TCP_force_3,actual_TCP_force_4,actual_TCP_force_5,tcp_force_scalar,joint_temperatures_0,joint_temperatures_1,joint_temperatures_2,joint_temperatures_3,joint_temperatures_4,joint_temperatures_5,robot_mode,safety_mode,actual_robot_voltage,actual_robot_current,actual_joint_voltage_0,actual_joint_voltage_1,actual_joint_voltage_2,actual_joint_voltage_3,actual_joint_voltage_4,actual_joint_voltage_5
090320-16:51:32.764,-1.47883493105,-1.90152182202,-1.67002773285,-1.1740206045,1.56382131577,-1.50671512285,0.0099259223789,0.0826644897461,-0.114834651351,0.0264817327261,-0.000234941864619,0.00733655970544,0.0241179168224,4.96352434158,0.589480638504,0.302194297314,0.00352549692616,0.0752445310354,0.314217849624,0.340993348765,0.325422867149,-0.0631049199178,-0.00537587917736,0.0538787186559,0.566488626,31.3125,32.75,31.9375,36.0,38.9375,40.5625,7,1,47.8660011292,1.13801419735,47.6135978699,47.7855911255,47.7712593079,47.6709289551,47.5992660522,47.5992660522
090320-16:51:32.772,-1.47875100771,-1.90076984982,-1.67101669312,-1.17382510126,1.56382131577,-1.50666648546,0.0105609772727,0.102169878781,-0.145878240466,0.0342910885811,-0.00028889864916,0.00837475433946,0.106460846961,5.12184143066,0.556771993637,0.370460033417,-0.0096041392535,0.113607503474,0.391995554514,-0.606576922112,0.582373324576,-0.0689294194936,-0.0121559710157,0.0631548059952,0.927768703059,31.3125,32.75,31.9375,36.0,38.9375,40.5,7,1,47.8794364929,1.14472699165,47.6565971375,47.7569236755,47.7569236755,47.6422653198,47.6422653198,47.6565971375
090320-16:51:32.780,-1.47870141665,-1.89987339596,-1.67226791382,-1.17347414911,1.56382083893,-1.50658256212,0.0112009076402,0.123538836837,-0.174469158053,0.0428512394428,-0.00124120444525,0.0095387827605,0.245761007071,5.11595869064,0.581294476986,0.447406709194,-0.00324822543189,0.145824626088,-0.185365717625,-1.30313590451,0.954733944525,-0.109835793014,0.00991879287961,0.0918996947212,1.62605059569,31.3125,32.75,31.9375,36.0,38.9375,40.5,7,1,47.8955574036,1.16711187363,47.6852607727,47.7999229431,47.7855911255,47.6709289551,47.7139282227,47.6565971375
090320-16:51:32.788,-1.47858125368,-1.89876188854,-1.67381954193,-1.17319567621,1.56377315521,-1.50649720827,0.0130464248359,0.146045953035,-0.200534313917,0.0492585524917,-0.000840817694552,0.0112734884024,0.217305213213,5.05211305618,0.482123494148,0.551908910275,-0.00625241175294,0.147574543953,-0.141446693791,-1.30446873417,0.495625384908,-0.0977703654143,0.00979846441304,0.11151267477,1.4026012861,31.3125,32.75,31.9375,36.0,38.9375,40.5,7,1,47.8543586731,1.14920926094,47.6565971375,47.7712593079,47.7569236755,47.6135978699,47.6279296875,47.6279296875
090320-16:51:32.795,-1.47847444216,-1.89754309277,-1.67556190491,-1.17285712183,1.563808918,-1.50643712679,0.0129090845585,0.164377942681,-0.228954195976,0.05699634552,-0.000576610967983,0.0108993444592,0.268317550421,5.30141687393,0.210789203644,0.702031731606,-0.00037350167986,0.178927451372,-0.0291389129522,0.00444919323143,-0.0899670115804,-0.0364883688252,0.0026269545966,0.136628426992,0.0946727771915,31.3125,32.75,31.9375,36.0,38.9375,40.5,7,1,47.8812255859,1.27677381039,47.6565971375,47.7999229431,47.7139282227,47.5849304199,47.6422653198,47.6279296875
090320-16:51:32.804,-1.47832948366,-1.89612116436,-1.67750072479,-1.1723216337,1.56378507614,-1.50638801256,0.0142382383347,0.184017956257,-0.261706978083,0.0750352218747,-0.000471203704365,0.0136402407661,0.217939063907,5.43518829346,0.689010977745,0.736533105373,-0.0099042179063,0.184496179223,0.181831569489,-0.687417708046,0.381796697625,-0.057369651237,0.00177721166569,0.145394511238,0.807077780214,31.3125,32.75,31.9375,36.0,38.9375,40.5,7,1,47.8337631226,1.21411216259,47.6709289551,47.7425918579,47.7282600403,47.5992660522,47.6135978699,47.5992660522
090320-16:51:32.812,-1.47822076479,-1.89453091244,-1.67968845367,-1.17160351694,1.56378507614,-1.50632697741,0.0153497252613,0.207667246461,-0.290406852961,0.100022286177,-0.000362651539035,0.0162414964288,0.215736806393,5.36221599579,0.472815454006,0.489822745323,0.0157652292401,0.194706425071,0.682883148915,-1.7086516403,0.671344189521,-0.0881833739268,0.00410441459607,0.161995572215,1.95870437887,31.3125,32.75,31.9375,36.0,38.9375,40.5,7,1,47.8463020325,1.24544036388,47.55626297,47.699596405,47.7139282227,47.55626297,47.5849304199,47.5992660522
090320-16:51:32.820,-1.47814923922,-1.89279427151,-1.68217563629,-1.17079146326,1.56377363205,-1.50627690951,0.0154369920492,0.230919227004,-0.317437052727,0.100158773363,-0.00029475876363,0.0199594330043,0.220803052187,5.23569965363,0.242889657617,0.439879655838,-0.0186699703336,0.196684658527,0.647468670279,-1.12841954137,0.259935083348,-0.0761843643858,-0.00155640757784,0.180656117167,1.32669234862,31.3125,32.75,31.9375,36.0,38.9375,40.5,7,1,47.8364448547,1.29019939899,47.5992660522,47.7425918579,47.7139282227,47.5705947876,47.6135978699,47.55626297
090320-16:51:32.828,-1.47801858584,-1.89081110577,-1.68487071991,-1.17004092157,1.56380939484,-1.50620395342,0.0154370246455,0.249160081148,-0.350554376841,0.0911648645997,-0.000274503836408,0.0237244069576,0.322310000658,5.45721054077,0.608317434788,0.636147975922,-0.00838326569647,0.197307378054,0.425248926382,-1.12264162157,0.330494890932,-0.0772821905944,-0.00340334233288,0.209619448334,1.24514566731,31.3125,32.75,31.9375,36.0,38.9375,40.5,7,1,47.831073761,1.31034314632,47.6135978699,47.699596405,47.7139282227,47.55626297,47.6135978699,47.5705947876
090320-16:51:32.836,-1.4778974692,-1.88874210934,-1.68781280518,-1.16921122492,1.56380939484,-1.50599700609,0.0156454835087,0.273229777813,-0.37410274148,0.0993997752666,-0.000245106319198,0.0278226528317,0.391926646233,5.34955120087,0.253793954849,0.698978841305,-0.0123336073011,0.178985729814,0.29410983939,-0.795200083158,0.689431523569,-0.0823106813459,-0.0119595952421,0.259848010677,1.09277609581,31.3125,32.75,31.9375,36.0,38.9375,40.5,7,1,47.8355522156,1.35957920551,47.5705947876,47.7425918579,47.7282600403,47.55626297,47.6279296875,47.6135978699
